"OBJECTID,N,10,0","NAME,C,50","CLASS,C,4","NPU1,C,4","DISTRICT,C,8","ADDRESS,C,50","GIS_AC,N,19,11","ZIP,C,5","X_TRLPAV,N,4,0","X_TRLNPAV,N,4,0","PAVILIONS,N,11,0","PLAYGROUND,N,12,0","PIC_SHEL,N,9,0","GAZEBO,N,9,0","PICNICTABL,N,9,0","PARKGRILL1,N,12,0","RESTROOMS,C,11","PV_PRKSPAC,C,14","BALLFIELDS,N,9,0","SOCCER,C,13","TENNIS,N,9,0","TRL_NUM,C,9","TRL_LEN,C,9","BBALL,N,9,0","VOLLEYBALL,N,9,0","POOL,C,9","GYM,C,9","RECCEN,N,18,0","COVBB,N,4,0","DOGPARK,N,4,0","TRACK,N,4,0","NAT,N,4,0","GOLF,N,4,0","AREA_FIN,N,19,3","RECCTRNM,C,254","SHAPE_AREA,N,19,11"
146,Valley Road and Habersham Park,G,A,8,Valley Rd./Habersham Rd. NW,0.04487782681,30305,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.045,,1953.24285000000
147,Hillside at Northside Drive Park,G,A,8,Hillside Dr./Northside Dr. NW,0.37830169573,30342,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.378,,16465.46460000000
148,Broadland and West Conway Park,G,A,8,Broadland Rd. NW at W. Conway Dr.,0.08585663826,30327,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.086,,3736.90685000000
149,Ranier Circle,G,A,8,End of Ranier Dr. NW,0.00992635086,30327,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.010,,432.04734000000
150,Shady Valley Park,C,B,7,2720 Shady Valley Dr. NE,11.26341785020,30324,0,0,0,1,0,0,5,0,0,0,1,,3,,,1,0,,0,0,0,0,0,0,0,11.080,,490203.93482000000
151,Lenox Beauty Spot,G,B,7,End of Roxboro Circle NE,0.07969035238,30319,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.080,,3468.27314000000
152,Vermont Road Park,N,B,7,Vermont Rd. and Calvert Lane NE,2.10086118029,30319,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,2.000,,91433.67381000000
153,Mayson Park,CN,B,7,vicinity of 4417 Club Drive NE,2.78925920824,30319,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,3.100,,121394.07229000000
154,Club Drive Park,G,B,7,Club Dr./Davidson Ave. NE,0.07650107142,30319,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.077,,3329.49118000000
155,East Brookhaven and Lakehaven Park,G,B,7,"E. Brookhaven Dr at Lakehaven Dr, NE",0.04676637109,30319,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.047,,2035.35372000000
156,Davidson and Lakehaven Park,G,B,7,Davidson Ave. at Lakehaven Dr. NE,0.04987301514,30319,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.050,,2170.55859000000
157,Darlington Circle Park,G,B,7,Darlington Cir. off Burke Rd. NE,0.06428541340,30305,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,0.064,,2797.85439000000
329,Boulevard Crossing,N, W, 1,Boulevard Ave & Englewood Ave,21.25220000000,,0,0,0,0,0,0,0,0,,,0,,0,,,0,0,,,0,0,0,0,0,0,21.790,,946304.45542000000
252,Rev. James Orange Park at Oakland City,C,S,4,1305 Oakland Dr. SW at Epworth,14.47776219660,30310,0,0,1,1,3,0,0,4,,25,1,,2,,,0,0,1,0,1,0,0,0,0,0,15.400,Oakland City,630153.99521000000
253,Ormond-Grant Park,B,W,1,Ormond St./Grant St. SE,1.30452626763,30315,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,1.300,,56776.82810000000
254,Outdoor Activity Center,NP,S,4,1442 Richland Rd. SW,21.76430587410,30310,0,0,0,0,0,0,0,0,0,0,0,,0,1,0.75,0,0,,0,0,0,0,0,0,0,21.764,,947311.96312000000
255,Phoenix III Park,N,V,1,Georgia Ave./Connally St. SE,3.83210972891,30312,0,0,0,1,0,0,0,0,0,0,0,,0,,,0,0,,0,0,0,0,0,0,0,4.000,,166785.54267000000
256,Phoenix II Park,N,V,1,141 Martin St. SE (at Georgia Ave.),7.13277090374,30315,0,0,3,1,0,0,0,0,0,0,1,,2,,,2,0,,0,0,0,0,0,0,0,7.300,,310441.62990000000
257,Pittman Park,C,V,4,950 Garibaldi St. SE,13.77582710450,30310,0,0,2,1,4,0,0,1,0,0,2,,3,,,2,0,1,1,1,0,0,0,0,0,14.100,Pittman,599579.70806000000
